Destination,area_code,value,Year
Adachi-gun,7320,574,2020
Adachi-gun,7320,574,2021
Adachi-gun,7320,626,2022
Adachi-gun,7320,604,2023
Adachi-gun,7320,681,2024
Adachi-ku,13121,68949,2008
Adachi-ku,13121,76465,2009
Adachi-ku,13121,67810,2010
Adachi-ku,13121,67657,2011
Adachi-ku,13121,67600,2012
Adachi-ku,13121,65203,2013
Adachi-ku,13121,67564,2014
Adachi-ku,13121,72299,2015
Adachi-ku,13121,67575,2016
Adachi-ku,13121,73514,2017
Adachi-ku,13121,88582,2018
Adachi-ku,13121,89888,2019
Adachi-ku,13121,72648,2020
Adachi-ku,13121,73731,2021
Adachi-ku,13121,78556,2022
Adachi-ku,13121,81323,2023
Adachi-ku,13121,85806,2024
Aga-machi,15385,441,2008
Aga-machi,15385,401,2009
Aga-machi,15385,416,2010
Aga-machi,15385,322,2011
Aga-machi,15385,408,2012
Aga-machi,15385,398,2013
Aga-machi,15385,311,2014
Aga-machi,15385,294,2015
Aga-machi,15385,307,2016
Aga-machi,15385,307,2017
Aga-machi,15385,295,2018
Aga-machi,15385,305,2019
Aga-machi,15385,278,2020
Aga-machi,15385,322,2021
Aga-machi,15385,266,2022
Aga-machi,15385,248,2023
Aga-machi,15385,192,2024
Agano-shi,15223,1626,2008
Agano-shi,15223,1546,2009
Agano-shi,15223,1574,2010
Agano-shi,15223,1586,2011
Agano-shi,15223,1574,2012
Agano-shi,15223,1587,2013
Agano-shi,15223,1493,2014
Agano-shi,15223,1493,2015
Agano-shi,15223,1396,2016
Agano-shi,15223,1530,2017
Agano-shi,15223,1417,2018
Agano-shi,15223,1499,2019
Agano-shi,15223,1434,2020
Agano-shi,15223,1424,2021
Agano-shi,15223,1404,2022
Agano-shi,15223,1404,2023
Agano-shi,15223,1260,2024
Agatsuma-gun,10420,3637,2008
Agatsuma-gun,10420,3807,2009
Agatsuma-gun,10420,3809,2010
Agatsuma-gun,10420,3464,2011
Agatsuma-gun,10420,3195,2012
Agatsuma-gun,10420,3371,2013
Agatsuma-gun,10420,3082,2014
Agatsuma-gun,10420,3278,2015
Agatsuma-gun,10420,3162,2016
Agatsuma-gun,10420,3189,2017
Agatsuma-gun,10420,4335,2018
Agatsuma-gun,10420,4998,2019
Agatsuma-gun,10420,3765,2020
Agatsuma-gun,10420,3949,2021
Agatsuma-gun,10420,3819,2022
Agatsuma-gun,10420,3649,2023
Agatsuma-gun,10420,3694,2024
Agawa-gun,39380,1699,2008
Agawa-gun,39380,1828,2009
Agawa-gun,39380,1580,2010
Agawa-gun,39380,1718,2011
Agawa-gun,39380,1749,2012
Agawa-gun,39380,1593,2013
Agawa-gun,39380,1635,2014
Agawa-gun,39380,1488,2015
Agawa-gun,39380,1484,2016
Agawa-gun,39380,1427,2017
Agawa-gun,39380,1569,2018
Agawa-gun,39380,1474,2019
Agawa-gun,39380,1525,2020
Agawa-gun,39380,1428,2021
Agawa-gun,39380,1366,2022
Agawa-gun,39380,1544,2023
Agawa-gun,39380,1294,2024
Agematsu-machi,20422,309,2008
Agematsu-machi,20422,316,2009
Agematsu-machi,20422,310,2010
Agematsu-machi,20422,285,2011
Agematsu-machi,20422,326,2012
Agematsu-machi,20422,293,2013
Agematsu-machi,20422,323,2014
Agematsu-machi,20422,259,2015
Agematsu-machi,20422,303,2016
Agematsu-machi,20422,296,2017
Agematsu-machi,20422,286,2018
Agematsu-machi,20422,226,2019
Agematsu-machi,20422,214,2020
Agematsu-machi,20422,206,2021
Agematsu-machi,20422,244,2022
Agematsu-machi,20422,248,2023
Agematsu-machi,20422,254,2024
Ageo-shi,11219,18408,2008
Ageo-shi,11219,18907,2009
Ageo-shi,11219,18130,2010
Ageo-shi,11219,17778,2011
Ageo-shi,11219,17838,2012
Ageo-shi,11219,18568,2013
Ageo-shi,11219,16518,2014
Ageo-shi,11219,17313,2015
Ageo-shi,11219,17275,2016
Ageo-shi,11219,17524,2017
Ageo-shi,11219,19262,2018
Ageo-shi,11219,19425,2019
Ageo-shi,11219,18779,2020
Ageo-shi,11219,19543,2021
Ageo-shi,11219,19237,2022
Ageo-shi,11219,18962,2023
Ageo-shi,11219,18717,2024
Agui-cho,23441,1913,2008
Agui-cho,23441,2067,2009
Agui-cho,23441,2614,2010
Agui-cho,23441,2722,2011
Agui-cho,23441,2326,2012
Agui-cho,23441,2490,2013
Agui-cho,23441,2526,2014
Agui-cho,23441,2180,2015
Agui-cho,23441,2061,2016
Agui-cho,23441,1779,2017
Agui-cho,23441,1777,2018
Agui-cho,23441,1625,2019
Agui-cho,23441,1576,2020
Agui-cho,23441,1816,2021
Agui-cho,23441,1742,2022
Agui-cho,23441,1722,2023
Agui-cho,23441,1431,2024
Aguni-son,47355,144,2008
Aguni-son,47355,150,2009
Aguni-son,47355,95,2010
Aguni-son,47355,89,2011
Aguni-son,47355,149,2012
Aguni-son,47355,106,2013
Aguni-son,47355,128,2014
Aguni-son,47355,84,2015
Aguni-son,47355,98,2016
Aguni-son,47355,100,2017
Aguni-son,47355,119,2018
Aguni-son,47355,134,2019
Aguni-son,47355,98,2020
Aguni-son,47355,110,2021
Aguni-son,47355,130,2022
Aguni-son,47355,144,2023
Aguni-son,47355,176,2024
Aibetsu-cho,1456,175,2008
Aibetsu-cho,1456,173,2009
Aibetsu-cho,1456,172,2010
Aibetsu-cho,1456,165,2011
Aibetsu-cho,1456,139,2012
Aibetsu-cho,1456,188,2013
Aibetsu-cho,1456,82,2014
Aibetsu-cho,1456,150,2015
Aibetsu-cho,1456,124,2016
Aibetsu-cho,1456,116,2017
Aibetsu-cho,1456,308,2018
Aibetsu-cho,1456,314,2019
Aibetsu-cho,1456,144,2020
Aibetsu-cho,1456,126,2021
Aibetsu-cho,1456,178,2022
Aibetsu-cho,1456,102,2023
Aibetsu-cho,1456,146,2024
Aichi-gun,23300,11447,2008
Aichi-gun,23300,10985,2009
Aichi-gun,23300,10210,2010
Aichi-gun,23300,9906,2011
Aichi-gun,23300,3475,2012
Aichi-gun,23300,3640,2013
Aichi-gun,23300,3565,2014
Aichi-gun,23300,3490,2015
Aichi-gun,23300,3495,2016
Aichi-gun,23300,3301,2017
Aichi-gun,23300,4184,2018
Aichi-gun,23300,4500,2019
Aichi-gun,23300,3200,2020
Aichi-gun,23300,3459,2021
Aichi-gun,23300,3617,2022
Aichi-gun,23300,3835,2023
Aichi-gun,23300,3370,2024
Aichi-ken,23000,672671,2008
Aichi-ken,23000,659465,2009
Aichi-ken,23000,608274,2010
Aichi-ken,23000,607303,2011
Aichi-ken,23000,609076,2012
Aichi-ken,23000,615803,2013
Aichi-ken,23000,603915,2014
Aichi-ken,23000,627443,2015
Aichi-ken,23000,609392,2016
Aichi-ken,23000,611767,2017
Aichi-ken,23000,753683,2018
Aichi-ken,23000,772447,2019
Aichi-ken,23000,660727,2020
Aichi-ken,23000,663319,2021
Aichi-ken,23000,674916,2022
Aichi-ken,23000,674031,2023
Aichi-ken,23000,666146,2024
Aichi-ken gun,23002,59414,2008
Aichi-ken gun,23002,56767,2009
Aichi-ken gun,23002,39683,2010
Aichi-ken gun,23002,37468,2011
Aichi-ken gun,23002,30526,2012
Aichi-ken gun,23002,31064,2013
Aichi-ken gun,23002,30209,2014
Aichi-ken gun,23002,31038,2015
Aichi-ken gun,23002,30182,2016
Aichi-ken gun,23002,29913,2017
Aichi-ken gun,23002,36817,2018
Aichi-ken gun,23002,38427,2019
Aichi-ken gun,23002,31829,2020
Aichi-ken gun,23002,31851,2021
Aichi-ken gun,23002,33072,2022
Aichi-ken gun,23002,32700,2023
Aichi-ken gun,23002,29801,2024
Aichi-ken shi,23001,613257,2008
Aichi-ken shi,23001,602698,2009
Aichi-ken shi,23001,568591,2010
Aichi-ken shi,23001,569835,2011
Aichi-ken shi,23001,578550,2012
Aichi-ken shi,23001,584739,2013
Aichi-ken shi,23001,573706,2014
Aichi-ken shi,23001,596405,2015
Aichi-ken shi,23001,579210,2016
Aichi-ken shi,23001,581854,2017
Aichi-ken shi,23001,716866,2018
Aichi-ken shi,23001,734020,2019
Aichi-ken shi,23001,628898,2020
Aichi-ken shi,23001,631468,2021
Aichi-ken shi,23001,641844,2022
Aichi-ken shi,23001,641331,2023
Aichi-ken shi,23001,636345,2024
Aida-gun,33640,114,2008
Aida-gun,33640,127,2009
Aida-gun,33640,76,2010
Aida-gun,33640,96,2011
Aida-gun,33640,90,2012
Aida-gun,33640,100,2013
Aida-gun,33640,100,2014
Aida-gun,33640,112,2015
Aida-gun,33640,115,2016
Aida-gun,33640,125,2017
Aida-gun,33640,111,2018
Aida-gun,33640,127,2019
Aida-gun,33640,98,2020
Aida-gun,33640,104,2021
Aida-gun,33640,90,2022
Aida-gun,33640,100,2023
Aida-gun,33640,78,2024
Aikawa-machi,14401,2944,2008
Aikawa-machi,14401,3133,2009
Aikawa-machi,14401,2882,2010
Aikawa-machi,14401,2731,2011
Aikawa-machi,14401,2709,2012
Aikawa-machi,14401,2566,2013
Aikawa-machi,14401,2219,2014
Aikawa-machi,14401,2438,2015
Aikawa-machi,14401,2346,2016
Aikawa-machi,14401,2553,2017
Aikawa-machi,14401,3312,2018
Aikawa-machi,14401,3416,2019
Aikawa-machi,14401,3159,2020
Aikawa-machi,14401,3034,2021
Aikawa-machi,14401,3089,2022
Aikawa-machi,14401,3188,2023
Aikawa-machi,14401,3138,2024
Aiko-gun,14400,3268,2008
Aiko-gun,14400,3429,2009
Aiko-gun,14400,3113,2010
Aiko-gun,14400,2853,2011
Aiko-gun,14400,2956,2012
Aiko-gun,14400,2741,2013
Aiko-gun,14400,2401,2014
Aiko-gun,14400,2568,2015
Aiko-gun,14400,2563,2016
Aiko-gun,14400,2727,2017
Aiko-gun,14400,3525,2018
Aiko-gun,14400,3584,2019
Aiko-gun,14400,3307,2020
Aiko-gun,14400,3236,2021
Aiko-gun,14400,3203,2022
Aiko-gun,14400,3358,2023
Aiko-gun,14400,3310,2024
Ainan-cho,38506,1058,2008
Ainan-cho,38506,1034,2009
Ainan-cho,38506,1004,2010
Ainan-cho,38506,982,2011
Ainan-cho,38506,889,2012
Ainan-cho,38506,897,2013
Ainan-cho,38506,775,2014
Ainan-cho,38506,807,2015
Ainan-cho,38506,813,2016
Ainan-cho,38506,728,2017
Ainan-cho,38506,862,2018
Ainan-cho,38506,721,2019
Ainan-cho,38506,652,2020
Ainan-cho,38506,742,2021
Ainan-cho,38506,767,2022
Ainan-cho,38506,662,2023
Ainan-cho,38506,644,2024
Aioi-shi,28208,1631,2008
Aioi-shi,28208,1437,2009
Aioi-shi,28208,1385,2010
Aioi-shi,28208,1551,2011
Aioi-shi,28208,1655,2012
Aioi-shi,28208,1657,2013
Aioi-shi,28208,1597,2014
Aioi-shi,28208,1695,2015
Aioi-shi,28208,1438,2016
Aioi-shi,28208,1547,2017
Aioi-shi,28208,1497,2018
Aioi-shi,28208,1520,2019
Aioi-shi,28208,1309,2020
Aioi-shi,28208,1366,2021
Aioi-shi,28208,1406,2022
Aioi-shi,28208,1334,2023
Aioi-shi,28208,1340,2024
Aira-cho,46442,4749,2008
Aira-cho,46442,5216,2009
Aira-gun,46440,8721,2008
Aira-gun,46440,9506,2009
Aira-gun,46440,705,2010
Aira-gun,46440,846,2011
Aira-gun,46440,753,2012
Aira-gun,46440,689,2013
Aira-gun,46440,620,2014
Aira-gun,46440,615,2015
Aira-gun,46440,680,2016
Aira-gun,46440,654,2017
Aira-gun,46440,594,2018
Aira-gun,46440,608,2019
Aira-gun,46440,668,2020
Aira-gun,46440,606,2021
Aira-gun,46440,702,2022
Aira-gun,46440,553,2023
Aira-gun,46440,662,2024
Aira-shi,46225,7554,2010
Aira-shi,46225,7169,2011
Aira-shi,46225,7108,2012
Aira-shi,46225,7453,2013
Aira-shi,46225,7424,2014
Aira-shi,46225,7263,2015
Aira-shi,46225,7379,2016
Aira-shi,46225,7577,2017
Aira-shi,46225,7864,2018
Aira-shi,46225,7494,2019
Aira-shi,46225,7224,2020
Aira-shi,46225,7279,2021
Aira-shi,46225,7438,2022
Aira-shi,46225,7193,2023
Aira-shi,46225,6694,2024
Aisai-shi,23232,3795,2008
Aisai-shi,23232,3510,2009
Aisai-shi,23232,3586,2010
Aisai-shi,23232,3136,2011
Aisai-shi,23232,3290,2012
Aisai-shi,23232,2961,2013
Aisai-shi,23232,2998,2014
Aisai-shi,23232,2902,2015
Aisai-shi,23232,2772,2016
Aisai-shi,23232,3037,2017
Aisai-shi,23232,3567,2018
Aisai-shi,23232,3814,2019
Aisai-shi,23232,3690,2020
Aisai-shi,23232,3393,2021
Aisai-shi,23232,3882,2022
Aisai-shi,23232,3529,2023
Aisai-shi,23232,3239,2024
Aisho-cho,25425,1870,2008
Aisho-cho,25425,1904,2009
Aisho-cho,25425,1739,2010
Aisho-cho,25425,1912,2011
Aisho-cho,25425,1701,2012
Aisho-cho,25425,1810,2013
Aisho-cho,25425,1360,2014
Aisho-cho,25425,1427,2015
Aisho-cho,25425,1433,2016
Aisho-cho,25425,1458,2017
Aisho-cho,25425,1729,2018
Aisho-cho,25425,1889,2019
Aisho-cho,25425,1893,2020
Aisho-cho,25425,1717,2021
Aisho-cho,25425,1644,2022
Aisho-cho,25425,1540,2023
Aisho-cho,25425,1612,2024
Aizubange-machi,7421,938,2008
Aizubange-machi,7421,921,2009
Aizubange-machi,7421,926,2010
Aizubange-machi,7421,834,2011
Aizubange-machi,7421,833,2012
Aizubange-machi,7421,794,2013
Aizubange-machi,7421,871,2014
Aizubange-machi,7421,834,2015
Aizubange-machi,7421,755,2016
Aizubange-machi,7421,843,2017
Aizubange-machi,7421,1045,2018
Aizubange-machi,7421,881,2019
Aizubange-machi,7421,685,2020
Aizubange-machi,7421,758,2021
Aizubange-machi,7421,728,2022
Aizubange-machi,7421,755,2023
Aizubange-machi,7421,632,2024
Aizumi-cho,36403,2828,2008
Aizumi-cho,36403,2851,2009
Aizumi-cho,36403,2856,2010
Aizumi-cho,36403,2978,2011
Aizumi-cho,36403,2990,2012
Aizumi-cho,36403,3047,2013
Aizumi-cho,36403,2743,2014
Aizumi-cho,36403,3045,2015
Aizumi-cho,36403,2855,2016
Aizumi-cho,36403,2941,2017
Aizumi-cho,36403,2988,2018
Aizumi-cho,36403,3000,2019
Aizumi-cho,36403,2921,2020
Aizumi-cho,36403,2794,2021
Aizumi-cho,36403,2752,2022
Aizumi-cho,36403,2577,2023
Aizumi-cho,36403,2544,2024
Aizumisato-machi,7447,991,2008
Aizumisato-machi,7447,1042,2009
Aizumisato-machi,7447,1035,2010
Aizumisato-machi,7447,1144,2011
Aizumisato-machi,7447,943,2012
Aizumisato-machi,7447,957,2013
Aizumisato-machi,7447,908,2014
Aizumisato-machi,7447,992,2015
Aizumisato-machi,7447,913,2016
Aizumisato-machi,7447,918,2017
Aizumisato-machi,7447,1105,2018
Aizumisato-machi,7447,882,2019
Aizumisato-machi,7447,748,2020
Aizumisato-machi,7447,694,2021
Aizumisato-machi,7447,788,2022
Aizumisato-machi,7447,770,2023
Aizumisato-machi,7447,672,2024
Aizuwakamatsu-shi,7202,7979,2008
Aizuwakamatsu-shi,7202,7516,2009
Aizuwakamatsu-shi,7202,7327,2010
Aizuwakamatsu-shi,7202,8196,2011
Aizuwakamatsu-shi,7202,7672,2012
Aizuwakamatsu-shi,7202,7504,2013
Aizuwakamatsu-shi,7202,7342,2014
Aizuwakamatsu-shi,7202,7204,2015
Aizuwakamatsu-shi,7202,6859,2016
Aizuwakamatsu-shi,7202,7128,2017
Aizuwakamatsu-shi,7202,7071,2018
Aizuwakamatsu-shi,7202,7180,2019
Aizuwakamatsu-shi,7202,6211,2020
Aizuwakamatsu-shi,7202,6110,2021
Aizuwakamatsu-shi,7202,6189,2022
Aizuwakamatsu-shi,7202,6132,2023
Aizuwakamatsu-shi,7202,6201,2024
Ajigasawa-machi,2321,502,2008
Ajigasawa-machi,2321,550,2009
Ajigasawa-machi,2321,547,2010
Ajigasawa-machi,2321,396,2011
Ajigasawa-machi,2321,492,2012
Ajigasawa-machi,2321,456,2013
Ajigasawa-machi,2321,389,2014
Ajigasawa-machi,2321,448,2015
Ajigasawa-machi,2321,359,2016
Ajigasawa-machi,2321,381,2017
Ajigasawa-machi,2321,387,2018
Ajigasawa-machi,2321,360,2019
Ajigasawa-machi,2321,336,2020
Ajigasawa-machi,2321,354,2021
Ajigasawa-machi,2321,313,2022
Ajigasawa-machi,2321,372,2023
Ajigasawa-machi,2321,304,2024
Aka-mura,40609,288,2008
Aka-mura,40609,351,2009
Aka-mura,40609,191,2010
Aka-mura,40609,254,2011
Aka-mura,40609,225,2012
Aka-mura,40609,260,2013
Aka-mura,40609,220,2014
Aka-mura,40609,160,2015
Aka-mura,40609,218,2016
Aka-mura,40609,205,2017
Aka-mura,40609,182,2018
Aka-mura,40609,184,2019
Aka-mura,40609,166,2020
Aka-mura,40609,236,2021
Aka-mura,40609,160,2022
Aka-mura,40609,158,2023
Aka-mura,40609,180,2024
Akabira-shi,1218,613,2008
Akabira-shi,1218,565,2009
Akabira-shi,1218,522,2010
Akabira-shi,1218,470,2011
Akabira-shi,1218,553,2012
Akabira-shi,1218,583,2013
Akabira-shi,1218,483,2014
Akabira-shi,1218,526,2015
Akabira-shi,1218,463,2016
Akabira-shi,1218,472,2017
Akabira-shi,1218,549,2018
Akabira-shi,1218,518,2019
Akabira-shi,1218,486,2020
Akabira-shi,1218,401,2021
Akabira-shi,1218,470,2022
Akabira-shi,1218,463,2023
Akabira-shi,1218,457,2024
Akaigawa-mura,1409,99,2008
Akaigawa-mura,1409,169,2009
Akaigawa-mura,1409,186,2010
Akaigawa-mura,1409,89,2011
Akaigawa-mura,1409,108,2012
Akaigawa-mura,1409,86,2013
Akaigawa-mura,1409,119,2014
Akaigawa-mura,1409,137,2015
Akaigawa-mura,1409,145,2016
Akaigawa-mura,1409,177,2017
Akaigawa-mura,1409,409,2018
Akaigawa-mura,1409,409,2019
Akaigawa-mura,1409,190,2020
Akaigawa-mura,1409,144,2021
Akaigawa-mura,1409,160,2022
Akaigawa-mura,1409,248,2023
Akaigawa-mura,1409,304,2024
Akaiwa-shi,33213,2839,2008
Akaiwa-shi,33213,2951,2009
Akaiwa-shi,33213,2748,2010
Akaiwa-shi,33213,2630,2011
Akaiwa-shi,33213,2723,2012
Akaiwa-shi,33213,2803,2013
Akaiwa-shi,33213,2575,2014
Akaiwa-shi,33213,2701,2015
Akaiwa-shi,33213,2620,2016
Akaiwa-shi,33213,2482,2017
Akaiwa-shi,33213,2809,2018
Akaiwa-shi,33213,2936,2019
Akaiwa-shi,33213,2258,2020
Akaiwa-shi,33213,2476,2021
Akaiwa-shi,33213,2478,2022
Akaiwa-shi,33213,2370,2023
Akaiwa-shi,33213,2104,2024
Akashi-shi,28203,21314,2008
Akashi-shi,28203,21532,2009
Akashi-shi,28203,19592,2010
Akashi-shi,28203,19650,2011
Akashi-shi,28203,19801,2012
Akashi-shi,28203,20505,2013
Akashi-shi,28203,20175,2014
Akashi-shi,28203,20829,2015
Akashi-shi,28203,20407,2016
Akashi-shi,28203,23238,2017
Akashi-shi,28203,23469,2018
Akashi-shi,28203,22673,2019
Akashi-shi,28203,20911,2020
Akashi-shi,28203,20852,2021
Akashi-shi,28203,21608,2022
Akashi-shi,28203,22527,2023
Akashi-shi,28203,22298,2024
Aki-gun,34300,10685,2008
Aki-gun,39300,1143,2008
Aki-gun,34300,10261,2009
Aki-gun,39300,1156,2009
Aki-gun,34300,9971,2010
Aki-gun,39300,1092,2010
Aki-gun,34300,10548,2011
Aki-gun,39300,1091,2011
Aki-gun,34300,10097,2012
Aki-gun,39300,1116,2012
Aki-gun,34300,10029,2013
Aki-gun,39300,1155,2013
Aki-gun,34300,10524,2014
Aki-gun,39300,1123,2014
Aki-gun,34300,10165,2015
Aki-gun,39300,1035,2015
Aki-gun,34300,10013,2016
Aki-gun,39300,1186,2016
Aki-gun,34300,10091,2017
Aki-gun,39300,913,2017
Aki-gun,34300,11123,2018
Aki-gun,39300,1077,2018
Aki-gun,34300,10980,2019
Aki-gun,39300,1040,2019
Aki-gun,34300,10340,2020
Aki-gun,39300,1017,2020
Aki-gun,34300,11915,2021
Aki-gun,39300,966,2021
Aki-gun,34300,10285,2022
Aki-gun,39300,984,2022
Aki-gun,34300,10354,2023
Aki-gun,39300,941,2023
Aki-gun,34300,9365,2024
Aki-gun,39300,1055,2024
Aki-ku,34107,8573,2008
Aki-ku,34107,7727,2009
Aki-ku,34107,7183,2010
Aki-ku,34107,7250,2011
Aki-ku,34107,7238,2012
Aki-ku,34107,7107,2013
Aki-ku,34107,6694,2014
Aki-ku,34107,7310,2015
Aki-ku,34107,6909,2016
Aki-ku,34107,6757,2017
Aki-ku,34107,7514,2018
Aki-ku,34107,7492,2019
Aki-ku,34107,6771,2020
Aki-ku,34107,6426,2021
Aki-ku,34107,6633,2022
Aki-ku,34107,6436,2023
Aki-ku,34107,6077,2024
Aki-shi,39203,1046,2008
Aki-shi,39203,977,2009
Aki-shi,39203,1173,2010
Aki-shi,39203,1001,2011
Aki-shi,39203,1060,2012
Aki-shi,39203,908,2013
Aki-shi,39203,810,2014
Aki-shi,39203,823,2015
Aki-shi,39203,879,2016
Aki-shi,39203,893,2017
Aki-shi,39203,968,2018
Aki-shi,39203,897,2019
Aki-shi,39203,940,2020
Aki-shi,39203,850,2021
Aki-shi,39203,962,2022
Aki-shi,39203,880,2023
Aki-shi,39203,856,2024
Akiha-ku,15105,4556,2008
Akiha-ku,15105,4134,2009
Akiha-ku,15105,4161,2010
Akiha-ku,15105,4188,2011
Akiha-ku,15105,4186,2012
Akiha-ku,15105,4114,2013
Akiha-ku,15105,3943,2014
Akiha-ku,15105,4087,2015
Akiha-ku,15105,4013,2016
Akiha-ku,15105,4069,2017
Akiha-ku,15105,4052,2018
Akiha-ku,15105,4210,2019
Akiha-ku,15105,3830,2020
Akiha-ku,15105,3858,2021
Akiha-ku,15105,3428,2022
Akiha-ku,15105,3652,2023
Akiha-ku,15105,3567,2024
Akiota-cho,34368,368,2008
Akiota-cho,34368,355,2009
Akiota-cho,34368,408,2010
Akiota-cho,34368,381,2011
Akiota-cho,34368,417,2012
Akiota-cho,34368,365,2013
Akiota-cho,34368,350,2014
Akiota-cho,34368,371,2015
Akiota-cho,34368,449,2016
Akiota-cho,34368,280,2017
Akiota-cho,34368,315,2018
Akiota-cho,34368,372,2019
Akiota-cho,34368,382,2020
Akiota-cho,34368,306,2021
Akiota-cho,34368,340,2022
Akiota-cho,34368,402,2023
Akiota-cho,34368,320,2024
Akiruno-shi,13228,6758,2008
Akiruno-shi,13228,6431,2009
Akiruno-shi,13228,6150,2010
Akiruno-shi,13228,6281,2011
Akiruno-shi,13228,5964,2012
Akiruno-shi,13228,6042,2013
Akiruno-shi,13228,5827,2014
Akiruno-shi,13228,5851,2015
Akiruno-shi,13228,6175,2016
Akiruno-shi,13228,5517,2017
Akiruno-shi,13228,6265,2018
Akiruno-shi,13228,6341,2019
Akiruno-shi,13228,5330,2020
Akiruno-shi,13228,5849,2021
Akiruno-shi,13228,5818,2022
Akiruno-shi,13228,5923,2023
Akiruno-shi,13228,5794,2024
Akishima-shi,13207,10420,2008
Akishima-shi,13207,11675,2009
Akishima-shi,13207,10809,2010
Akishima-shi,13207,10101,2011
Akishima-shi,13207,9738,2012
Akishima-shi,13207,9943,2013
Akishima-shi,13207,10144,2014
Akishima-shi,13207,10351,2015
Akishima-shi,13207,9962,2016
Akishima-shi,13207,11347,2017
